,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
125,415.84335282071373,144.97529009905284,214.12057185221877,226.57264105885776,222.7218265929321,180.62053385812544,133.31548512371617,222.99323856018353
126,419.01795391022057,145.0748270302641,215.00287048076945,227.88151700951914,223.07262006239648,180.6388746698309,133.3026208458887,223.09316325494595
127,422.1925549997274,145.17443230140188,215.88516910932012,229.19795413899814,223.41639766247155,180.65619603464074,133.29001385361778,223.18882442251868
128,425.36715608923424,145.27410595938693,216.7674677378708,230.52199612708353,223.75329971054512,180.67255452709765,133.2776590011923,223.280402246859
129,428.5417571787411,145.3738480511722,217.64976636642146,231.8536869058957,224.08346371765722,180.68800359185528,133.26555124581532,223.36806944298104
130,431.7163582682479,145.47365862374284,218.53206499497213,233.19307066134422,224.4070244446271,180.70259371577922,133.2536856455459,223.45199155417728
131,434.89095935775475,145.57353772411633,219.4143636235228,234.54019183459403,224.72411395705757,180.7163725906991,133.24205735728182,223.5323272384769
132,438.0655604472616,145.67348539934238,220.29666225207347,235.89509512353996,225.03486167923944,180.72938526730772,133.23066163478305,223.60922854463527
133,441.2401615367684,145.77350169650302,221.17896088062415,237.2578254842898,225.33939444697768,180.74167430067695,133.21949382673424,223.68284117795167
134,444.41476262627526,145.8735866627126,222.06125950917482,238.62842813265607,225.63783655936115,180.75327988783783,133.20854937484643,223.75330475621135
135,447.5893637157821,145.97374034511782,222.9435581377255,240.00694854565612,225.93030982949693,180.7642399978482,133.19782381199636,223.82075305604656
136,450.76396480528894,146.07396279089772,223.82585676627616,241.39343246302118,226.21693363423,180.7745904947506,133.1873127604033,223.88531425001014
137,453.9385658947958,146.17425404726382,224.70815539482683,242.78792588871408,226.4978249628684,180.7843652538018,133.1770119298421,223.94711113465166
138,457.1131669843026,146.27461416145994,225.5904540233775,244.19047509245553,226.77309846493404,180.7935962713361,133.16691711589212,224.00626134988266
